#1.2																																	
22283	32																																
NAME	Description	GM10832_0GY	GM10835_0GY	GM7057_0GY	GM13113_0GY	GM10860_0GY	GM03187_0GY	GM08390_0GY	GM09585_0GY	GM09583_0GY	GM00736_0GY	GM03189_0GY	GM09586_0GY	GM08436_0GY	GM13819_0GY	GM00718_0GY	NML37_0GY	NML47_0GY	NML50_0GY	GM10833_0GY	GM6990_0GY	GM10834_0GY	GM10861_0GY	BR51_0GY	BR258_0GY	GM03188_0GY	GM08388_0GY	GM09579_0GY	GM01526_0GY	GM015785_0GY	GM015786_0GY	GM01525_0GY	GM00719_0GY
215538_at	na	28.566616	17.435623	16.682034	18.983868	49.374252	28.643951	2.8837998	15.794014	15.790235	22.64276	25.456215	25.895096	14.106638	29.398396	2.6273189	21.044231	15.106596	13.223833	17.133673	22.359346	9.827145	62.04257	18.40002	15.648456	17.027151	23.252722	23.256134	31.013979	21.425915	15.846021	23.92178	22.943556
218987_at	na	152.65285	97.011475	77.56722	120.19234	152.37917	106.619156	119.14213	147.9906	145.0258	76.43568	122.29932	162.46089	70.53319	176.15424	126.29897	138.6153	149.19984	172.08975	143.92285	108.60255	157.11449	142.40994	108.80641	118.37878	66.982834	109.61998	129.30411	119.336395	104.09099	69.65154	157.78459	99.135796
205137_x_at	na	47.44099	7.684895	9.738243	13.04413	12.769203	11.245403	10.876044	2.9222403	4.323517	22.380995	4.0510964	16.749603	13.847007	27.27321	14.825585	7.4099407	5.953776	4.407944	6.330746	5.5428634	7.0707507	11.911126	17.02364	4.0614314	12.101942	5.030181	6.3788257	7.95576	14.413796	13.599197	21.566786	18.403921
210677_at	na	7.2691836	13.469224	6.605069	2.6787052	7.803402	36.91887	3.4605596	17.60302	4.323517	6.020618	6.8430686	10.37859	4.500277	4.1323047	7.131294	8.101535	4.1765294	8.456057	3.600975	2.2547243	2.2770214	9.555079	6.012605	21.860056	2.6736846	12.717815	19.668045	17.259954	8.726191	28.144424	5.9494586	4.416941
205949_at	na	24.103083	12.642892	29.46877	17.586283	57.31954	28.00742	13.595056	24.978199	14.7563505	53.923798	47.135056	47.371582	24.924612	39.19786	60.240665	20.550236	11.552103	24.738462	17.075592	10.615993	57.52475	68.84892	37.162243	27.713297	12.242661	21.354542	32.425694	19.417446	34.359375	18.56586	40.902527	34.35399
209946_at	na	2.9331794	16.526657	24.133905	57.184532	57.461414	29.068306	21.834484	21.568916	20.86567	49.473774	25.675194	32.88266	18.606915	25.26609	33.216816	9.879921	11.996414	3.8681962	25.148745	9.018897	50.214317	43.71776	20.066164	23.532412	18.293633	21.164722	7.7077475	33.576004	30.775404	31.692041	32.598072	15.827373
221956_at	na	13.518131	10.411794	6.012306	17.702747	17.309364	16.655928	11.205622	6.957715	20.771679	13.088301	8.868617	13.975131	7.5293097	21.842182	14.074923	8.397933	16.617256	11.06484	9.002438	7.797588	11.9843235	18.063026	14.415764	7.406139	6.050971	6.16909	12.757651	17.52964	21.114265	6.38571	13.758122	11.287739
208792_s_at	na	13.518131	3.3879645	6.1816673	17.819214	18.018764	11.139315	11.288016	18.29879	3.1016533	20.94128	13.302925	7.604115	8.394748	3.5419755	11.259937	8.694331	3.465631	16.642239	11.035246	2.5365646	19.893976	31.283066	8.548041	20.068247	16.46427	9.680725	9.435346	2.9665546	10.674001	10.879357	10.163658	19.262772
219727_at	na	16.70637	11.733926	6.1816673	4.7750835	28.376007	31.826612	7.4978795	17.742174	3.2896323	16.62214	9.197083	6.473774	5.0195403	8.618807	20.643219	5.137559	24.703728	28.426743	3.7171357	4.0397143	31.51877	17.53946	6.157487	2.2696233	4.9252086	10.8196335	21.129858	4.3149886	8.102891	26.725378	26.648615	25.520103
218027_at	na	389.34766	384.65793	194.1721	212.54944	236.79778	360.59552	269.2645	298.486	263.82852	195.14656	310.1826	254.73785	297.62408	224.44318	118.98001	328.211	273.60712	359.47235	319.8479	246.89227	247.23659	297.51636	329.24445	289.07834	292.69812	244.58069	303.25998	370.4148	257.50052	318.22122	239.34175	224.65054
